[2025-09-14 20:29:31.594850] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 19024, 0]
[2025-09-14 20:29:32.723348] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 20484, 0]
[2025-09-14 20:29:32.985524] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:34.126574] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 20484, 0]
[2025-09-14 20:29:34.382318] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:34.448200] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:34.525110] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:34.604454] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 20484, 0]
[2025-09-14 20:29:34.711533] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:34.805193] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:34.825752] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:34.893447] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:39.020144] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:29:39.367833] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 20484, 0]
[2025-09-14 20:29:41.475018] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:29:41.509189] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 19024, 0]
[2025-09-14 20:29:43.353643] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:29:44.809448] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 20484, 0]
[2025-09-14 20:29:44.974692] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:29:45.239573] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 20480, 0]
[2025-09-14 20:29:45.869768] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:47.417520] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:49.476293] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:49.983209] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:59.144260] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:29:59.351905] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:30:03.032216] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:30:18.964943] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:30:19.230417] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 19024, 0]
[2025-09-14 20:30:19.368358] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 19024, 0]
[2025-09-14 20:30:19.582474] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:30:19.622056] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:30:21.286998] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:30:24.322501] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:30:25.404100] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:30:25.443100] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:30:26.338384] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:30:27.077365] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:30:27.182403] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:30:27.236786] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:30:27.333205] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 19024, 0]
[2025-09-14 20:32:59.351595] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 334, 0]
[2025-09-14 20:34:42.152181] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21940, 0]
[2025-09-14 20:34:55.885797] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 334, 0]
[2025-09-14 20:35:22.899686] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 19020, 0]
[2025-09-14 20:35:22.925948] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17560, 0]
[2025-09-14 20:35:23.170626] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 19020, 0]
[2025-09-14 20:35:23.206734] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17560, 0]
[2025-09-14 20:37:03.552176] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17560, 0]
[2025-09-14 20:40:04.169975] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 20092, 0]
[2025-09-14 20:40:04.251934] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21524, 0]
[2025-09-14 20:40:04.327448] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17228, 0]
[2025-09-14 20:42:33.635420] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21880, 0]
[2025-09-14 20:42:33.735609] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21880, 0]
[2025-09-14 20:42:33.883039] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21880, 0]
[2025-09-14 20:42:33.970925] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21880, 0]
